Wahlbezirk,eligible_voters,voters,CDU,SPD,GRUENE,FDP,AFD,LINKE,SONSTIGE
"Rathaus HN, Trauzimmer (20.8121000.101)",806,291,91,49,26,38,54,21,11
"Rathaus HN, Bürgeramt, Z.0.08 (20.8121000.102)",709,319,92,63,30,21,52,38,14
"Theodor-Heuss-Gymnasium, Z.107 (20.8121000.103)",787,431,108,105,51,34,65,39,23
"Städtische Museen, Deutschhof, Bistro (20.8121000.104)",688,320,105,63,36,28,39,28,14
"Städt. Kindergarten, Bergstr. (20.8121000.105)",1178,529,148,122,52,55,69,51,25
"Robert-Mayer-Gymnasium, Z.6 (20.8121000.106)",897,480,135,106,48,37,74,46,26
"Städt. Ki.garten, Roseggerstr. (20.8121000.107)",919,439,106,94,47,32,84,50,20
"Süd-Kindergarten, Südstr. 118 (20.8121000.108)",892,450,117,95,41,32,73,47,29
"Rosenauschule, Zimmer 5 (20.8121000.109)",832,358,104,76,28,27,73,30,10
"Rosenauschule, Zimmer 4 (20.8121000.110)",935,460,135,101,23,46,100,35,11
"G.-v.-Schmoller-Schule, Z. 9 (20.8121000.111)",950,381,110,103,40,31,50,19,24
"G.-v.-Schmoller-Schule, Z. 11 (20.8121000.112)",1006,490,115,103,34,41,111,46,27
"Wilhelm-Maybach-Schule, Mensa A (20.8121000.113)",917,455,116,103,40,42,72,38,24
Ki.garten Wartbergstr.32 Z.1 (20.8121000.114),820,471,128,113,41,41,94,34,15
Ki.garten Wartbergstr.32 Z.2 (20.8121000.115),738,363,100,95,29,23,59,31,21
"Th.-Morus-Haus, Goethestr. 75 (20.8121000.116)",825,406,109,101,39,35,67,35,12
"Gerhart-Hauptmann-Schule, Z.1 (20.8121000.117)",896,496,166,98,42,49,77,37,21
"Gerhart-Hauptmann-Schule, Z.2 (20.8121000.118)",1247,630,203,144,72,77,71,36,20
Silcherschule Zimmer U.1 (20.8121000.119),947,505,176,114,41,76,48,24,20
"KiGa Becker-Franck I, Ellw.Str. (20.8121000.201)",400,149,36,35,8,8,28,18,11
"Wartbergschule, Zimmer E02 (20.8121000.202)",723,412,119,89,37,38,83,21,19
"Städt.Kiga Millerstr. 7, Atelier (20.8121000.203)",923,537,187,119,56,57,58,30,21
"Wartbergschule, Zimmer E03 (20.8121000.204)",735,382,100,92,30,28,72,42,8
"Wartbergschule, Zimmer E04 (20.8121000.205)",678,390,105,114,36,36,51,32,10
Wilhelm-Busch-Kindergarten (20.8121000.206),948,571,201,131,56,83,59,20,18
"TSG Heilbronn, Schlizstr. 78 (20.8121000.207)",1013,577,220,109,44,128,44,16,12
"Johannes-Kindergarten A, Nürnberger Str. (20.8121000.208)",1101,586,192,120,60,103,64,26,18
"Jugendherberge,Schirrmannstr.9 (20.8121000.209)",655,380,134,70,52,65,28,16,10
"Johannes-Kindergarten B, Nürnberger Str. (20.8121000.210)",1113,649,258,140,67,69,59,30,20
"Silcherschule, Zimmer U.2 (20.8121000.211)",806,487,146,123,67,47,64,22,13
Ludwig-Pfau-Schule Turnhalle (20.8121000.212),964,641,206,123,54,47,134,34,29
Kath. Gem.haus Moosbruggerstr. (20.8121000.213),954,509,154,116,67,41,70,37,11
"Feuerwehr, Beethovenstr. 29 (20.8121000.214)",776,475,133,121,52,49,60,36,16
"Wilhelm-Hauff-Schule, Z. 103 (20.8121000.215)",866,450,114,92,30,17,121,44,20
"Wilhelm-Hauff-Schule, Z. 101 (20.8121000.216)",960,591,149,176,59,55,78,46,22
"Wilhelm-Hauff-Schule, Z. 102 (20.8121000.217)",885,435,100,95,45,27,79,46,26
Gem.zentrum Am Hohrain2 Saal (20.8121000.218),787,446,122,112,48,34,79,23,21
"Gem.zentrum Am Hohrain2, MLZ (20.8121000.219)",888,479,131,106,32,39,103,35,25
Kiga Becker-Frank Turnraum Bad.Str. (20.8121000.220),919,624,237,111,58,87,93,18,16
"H.-v.-Kleist-Realschule, Z. 12 (20.8121000.301)",914,525,135,152,42,52,97,21,18
"EHK-Gymnasium,  Z. 001 (20.8121000.302)",721,468,147,118,20,47,97,21,12
"EHK-Gymnasium, Z. 005 (20.8121000.303)",824,474,141,96,15,22,133,42,11
"H.-v.-Kleist-Realschule, Z.13 (20.8121000.304)",922,606,164,170,56,65,92,32,23
"Grünewaldschule, Zimmer 5 (20.8121000.305)",1104,610,175,149,48,60,116,30,27
"EHK-Gem.schule, Zimmer 29 (20.8121000.306)",968,591,164,122,28,70,153,27,15
"EHK-Gem.schule, Zimmer 28 (20.8121000.307)",799,464,132,126,27,48,88,18,12
"Grünewaldschule, Zimmer 4 (20.8121000.308)",957,517,160,123,28,47,98,33,15
