eligible_voters,voters,CDU,SPD,GRUENE,FDP,AFD,LINKE,SONSTIGE,location_address,location_id,latitude,longitude
806,291,91,49,26,38,54,21,11,"Rathaus HN, Trauzimmer",20.8121000.101,49.1426929,9.210879
709,319,92,63,30,21,52,38,14,"Rathaus HN, Bürgeramt, Z.0.08",20.8121000.102,49.1426929,9.210879
787,431,108,105,51,34,65,39,23,"Theodor-Heuss-Gymnasium, Z.107",20.8121000.103,49.1425633,9.2269563
688,320,105,63,36,28,39,28,14,"Städtische Museen, Deutschhof, Bistro",20.8121000.104,49.1408784,9.2172927
1178,529,148,122,52,55,69,51,25,"Städt. Kindergarten, Bergstr.",20.8121000.105,49.1367509,9.2164635
897,480,135,106,48,37,74,46,26,"Robert-Mayer-Gymnasium, Z.6",20.8121000.106,49.1399152,9.2268071
919,439,106,94,47,32,84,50,20,"Städt. Ki.garten, Roseggerstr.",20.8121000.107,49.13458,9.22739
892,450,117,95,41,32,73,47,29,"Süd-Kindergarten, Südstr. 118",20.8121000.108,49.1341,9.22319
832,358,104,76,28,27,73,30,10,"Rosenauschule, Zimmer 5",20.8121000.109,49.13565,9.21583
935,460,135,101,23,46,100,35,11,"Rosenauschule, Zimmer 4",20.8121000.110,49.13565,9.21583
950,381,110,103,40,31,50,19,24,"G.-v.-Schmoller-Schule, Z. 9",20.8121000.111,49.14096,9.20726
1006,490,115,103,34,41,111,46,27,"G.-v.-Schmoller-Schule, Z. 11",20.8121000.112,49.14096,9.20726
917,455,116,103,40,42,72,38,24,"Wilhelm-Maybach-Schule, Mensa A",20.8121000.113,49.1489836,9.2228417
820,471,128,113,41,41,94,34,15,Ki.garten Wartbergstr.32 Z.1,20.8121000.114,49.1484002,9.228785499999999
738,363,100,95,29,23,59,31,21,Ki.garten Wartbergstr.32 Z.2,20.8121000.115,49.1484002,9.228785499999999
825,406,109,101,39,35,67,35,12,"Th.-Morus-Haus, Goethestr. 75",20.8121000.116,49.1469624,9.2320137
896,496,166,98,42,49,77,37,21,"Gerhart-Hauptmann-Schule, Z.1",20.8121000.117,49.1416106,9.2346638
1247,630,203,144,72,77,71,36,20,"Gerhart-Hauptmann-Schule, Z.2",20.8121000.118,49.1416106,9.2346638
947,505,176,114,41,76,48,24,20,Silcherschule Zimmer U.1,20.8121000.119,49.13325,9.229289999999999
400,149,36,35,8,8,28,18,11,"KiGa Becker-Franck I, Ellw.Str.",20.8121000.201,49.13474,9.24944
723,412,119,89,37,38,83,21,19,"Wartbergschule, Zimmer E02",20.8121000.202,49.1527,9.22709
923,537,187,119,56,57,58,30,21,"Städt.Kiga Millerstr. 7, Atelier",20.8121000.203,49.1567607,9.2276194
735,382,100,92,30,28,72,42,8,"Wartbergschule, Zimmer E03",20.8121000.204,49.1527,9.22709
678,390,105,114,36,36,51,32,10,"Wartbergschule, Zimmer E04",20.8121000.205,49.1527,9.22709
948,571,201,131,56,83,59,20,18,Wilhelm-Busch-Kindergarten,20.8121000.206,49.1472167,9.2347805
1013,577,220,109,44,128,44,16,12,"TSG Heilbronn, Schlizstr. 78",20.8121000.207,49.1404577,9.2493947
1101,586,192,120,60,103,64,26,18,"Johannes-Kindergarten A, Nürnberger Str.",20.8121000.208,49.13244,9.24334
655,380,134,70,52,65,28,16,10,"Jugendherberge,Schirrmannstr.9",20.8121000.209,49.1463137,9.210617599999999
1113,649,258,140,67,69,59,30,20,"Johannes-Kindergarten B, Nürnberger Str.",20.8121000.210,49.13244,9.24334
806,487,146,123,67,47,64,22,13,"Silcherschule, Zimmer U.2",20.8121000.211,49.13325,9.229289999999999
964,641,206,123,54,47,134,34,29,Ludwig-Pfau-Schule Turnhalle,20.8121000.212,49.1246811,9.2242338
